             	 parameter	   s.e._sa	r.s.e._sa	pvalues_sa
       KM_pop	3.87734	0.3297	8.5	       NaN
    VMAX0_pop	337.94204	19.18579	5.68	       NaN
      ALP_pop	4812.08053	269.26479	5.6	       NaN
       K1_pop	1.62258	0.07151	4.41	       NaN
      KM1_pop	784.44216	54.45508	6.94	       NaN
     TAUI_pop	15.94767	0.75883	4.76	       NaN
    TAUGn_pop	0.59	0	0	       NaN
      Vt1_pop	9.44524	0.02424	0.26	       NaN
   fPEX31_pop	-2.78482	0.09637	3.46	       NaN
   fPEX21_pop	-1.70593	0.19564	11.47	       NaN
    PWG11_pop	0.44405	       NaN	      NaN	       NaN
   fPWG21_pop	2.20819	0.08325	3.77	       NaN
      Vt2_pop	0	0	0	       NaN
   fPEX32_pop	0	0	0	       NaN
    PWG12_pop	0	0	0	       NaN
   fPEX22_pop	0	0	0	       NaN
   fPWG22_pop	0	0	0	       NaN
        F_pop	0.99192	0.09095	9.17	       NaN
    omega2_KM	0.21922	0.06246	28.49	       NaN
 omega2_VMAX0	0	0	0	       NaN
   omega2_ALP	0.11244	0.02929	26.05	       NaN
    omega2_K1	0.11138	0.02309	20.74	       NaN
   omega2_KM1	0.26252	0.04696	17.89	       NaN
  omega2_TAUI	0.15112	0.03536	23.4	       NaN
 omega2_TAUGn	0	0	0	       NaN
   omega2_Vt1	0	0	0	       NaN
omega2_fPEX31	0	0	0	       NaN
omega2_fPEX21	0	0	0	       NaN
 omega2_PWG11	0	0	0	       NaN
omega2_fPWG21	0	0	0	       NaN
   omega2_Vt2	0.05569	0.00953	17.11	       NaN
omega2_fPEX32	0.179	0.06227	34.79	       NaN
 omega2_PWG12	0.77256	0.23144	29.96	       NaN
omega2_fPEX22	0	0	0	       NaN
omega2_fPWG22	0	0	0	       NaN
     omega2_F	0.06969	0.02995	42.97	       NaN
" corr(K1,KM1)"	-0.43889	0.10489	23.9	       NaN
          a_1	0.02622	0.00121	4.61	       NaN
          a_2	0.00736	0.00082	11.09	       NaN
          a_3	0.005	0	0	       NaN
          a_4	0.00571	0.00091	15.89	       NaN
          a_5	0.01158	0.00196	16.89	       NaN
          a_6	0.004	0	0	       NaN
          a_7	0.00479	0.0011	22.92	       NaN
          a_8	0.00893	0.00091	10.18	       NaN
          a_9	0.00425	0.0002	4.64	       NaN
         a_10	0.00966	0.0005	5.21	       NaN
         a_11	0.01397	0.00062	4.44	       NaN
         a_12	0.01203	0.00039	3.27	       NaN
         a_13	0.01166	0.00083	7.1	       NaN
         a_14	0.02511	0.00176	7.02	       NaN
         a_15	0.00329	0.0004	12.07	       NaN
