Results of Simulation 1

Time	CPL_APAP_mcgL	CPL_AG_mcgL	CPL_AS_mcgL
0	0	0	0
0.1	4566.84	198.635	378.029
0.2	9022.41	1121.86	1258.29
0.3	11719.7	2583.6	2151.68
0.4	13168.7	4298.89	2962.74
0.5	13854	6072.86	3668.79
0.6	14089.8	7789.01	4270.11
0.7	14062.8	9384.8	4776.59
0.8	13881.6	10832.2	5201.03
0.9	13610.1	12124.4	5556.04
1	13286.4	13266	5852.72
1.1	12933.7	14268	6100.35
1.2	12566.5	15143.4	6306.56
1.3	12193.9	15906	6477.46
1.4	11821.6	16568.5	6617.98
1.5	11453.3	17142.6	6732.09
1.6	11091.3	17638.4	6823.06
1.7	10737.1	18064.8	6893.55
1.8	10391.6	18429.2	6945.8
1.9	10055.4	18738	6981.68
2	9728.6	18996.9	7002.81
2.1	9411.4	19210.4	7010.61
2.2	9103.74	19382.6	7006.31
2.3	8805.51	19517.2	6991.01
2.4	8516.57	19617.2	6965.71
2.5	8236.7	19685.4	6931.29
2.6	7965.7	19724.2	6888.57
2.7	7703.34	19736.1	6838.32
2.8	7449.38	19722.8	6781.22
2.9	7203.59	19686.5	6717.92
3	6965.73	19628.7	6649
3.1	6735.55	19551.1	6575.03
3.2	6512.83	19455.2	6496.51
3.3	6297.35	19342.4	6413.93
3.4	6088.87	19214	6327.74
3.5	5887.17	19071.2	6238.35
3.6	5692.06	18915.2	6146.16
3.7	5503.31	18747	6051.52
3.8	5320.74	18567.8	5954.77
3.9	5144.13	18378.4	5856.23
4	4973.32	18179.8	5756.2
4.1	4808.1	17972.8	5654.94
4.2	4648.3	17758.3	5552.71
4.3	4493.75	17537.1	5449.75
4.4	4344.28	17309.7	5346.27
4.5	4199.73	17077	5242.48
4.6	4059.93	16839.6	5138.56
4.7	3924.74	16598.1	5034.69
4.8	3794.01	16352.9	4931.03
4.9	3667.59	16104.8	4827.71
5	3545.35	15854.1	4724.89
5.1	3427.14	15601.4	4622.68
5.2	3312.84	15347.1	4521.19
5.3	3202.32	15091.6	4420.53
5.4	3095.45	14835.2	4320.79
5.5	2992.13	14578.4	4222.06
5.6	2892.23	14321.6	4124.41
5.7	2795.64	14064.9	4027.91
5.8	2702.25	13808.7	3932.63
5.9	2611.96	13553.3	3838.62
6	2524.67	13298.9	3745.93
6.1	2440.28	13045.8	3654.6
6.2	2358.69	12794.2	3564.66
6.3	2279.81	12544.2	3476.17
6.4	2203.56	12296.2	3389.13
6.5	2129.84	12050.1	3303.57
6.6	2058.57	11806.3	3219.52
6.7	1989.68	11564.9	3136.98
6.8	1923.08	11325.9	3055.98
6.9	1858.7	11089.5	2976.51
7	1796.47	10855.8	2898.58
7.1	1736.31	10624.9	2822.19
7.2	1678.15	10396.9	2747.35
7.3	1621.94	10171.9	2674.05
7.4	1567.6	9949.88	2602.29
7.5	1515.07	9731	2532.06
7.6	1464.3	9515.27	2463.35
7.7	1415.22	9302.74	2396.14
7.8	1367.78	9093.45	2330.44
7.9	1321.93	8887.43	2266.22
8	1277.61	8684.71	2203.47
8.1	1234.77	8485.31	2142.17
8.2	1193.36	8289.24	2082.31
8.3	1153.34	8096.52	2023.86
8.4	1114.65	7907.14	1966.82
8.5	1077.26	7721.12	1911.15
8.6	1041.12	7538.44	1856.85
8.7	1006.19	7359.1	1803.88
8.8	972.429	7183.08	1752.23
8.9	939.798	7010.39	1701.87
9	908.258	6840.99	1652.79
9.1	877.775	6674.87	1604.96
9.2	848.313	6512	1558.36
9.3	819.837	6352.37	1512.96
9.4	792.316	6195.94	1468.74
9.5	765.716	6042.68	1425.69
9.6	740.008	5892.57	1383.77
9.7	715.161	5745.57	1342.96
9.8	691.147	5601.65	1303.25
9.9	667.938	5460.76	1264.6
10	645.507	5322.89	1227
10.1	623.829	5187.98	1190.42
10.2	602.877	5055.99	1154.84
10.3	582.628	4926.9	1120.23
10.4	563.058	4800.65	1086.58
10.5	544.144	4677.2	1053.87
10.6	525.865	4556.53	1022.06
10.7	508.199	4438.57	991.149
10.8	491.126	4323.29	961.104
10.9	474.625	4210.64	931.907
11	458.679	4100.59	903.538
11.1	443.267	3993.09	875.976
11.2	428.373	3888.09	849.202
11.3	413.979	3785.55	823.195
11.4	400.068	3685.43	797.936
11.5	386.624	3587.69	773.408
11.6	373.631	3492.27	749.59
11.7	361.074	3399.14	726.464
11.8	348.939	3308.26	704.013
11.9	337.212	3219.57	682.22
12	325.878	3133.04	661.066
12.1	314.925	3048.63	640.534
12.2	304.34	2966.29	620.609
12.3	294.111	2885.98	601.274
12.4	284.225	2807.66	582.513
12.5	274.671	2731.29	564.311
12.6	265.438	2656.83	546.652
12.7	256.515	2584.23	529.521
12.8	247.892	2513.47	512.905
12.9	239.558	2444.49	496.788
13	231.505	2377.27	481.157
13.1	223.722	2311.76	465.998
13.2	216.201	2247.92	451.298
13.3	208.932	2185.72	437.045
13.4	201.908	2125.12	423.224
13.5	195.119	2066.09	409.825
13.6	188.559	2008.59	396.835
13.7	182.219	1952.59	384.243
13.8	176.093	1898.04	372.037
13.9	170.172	1844.93	360.205
14	164.45	1793.2	348.738


