"","Time","CPL_APAP_mcgL","CPL_AG_mcgL","CPL_AS_mcgL"
"1",0.5,10718.2159692886,4418.25455490923,4092.86298301003
"2",1,12940.2773323416,11651.6141145296,6613.04835658425
"3",1.5,10854.1198871802,18164.0564498428,7884.86201846086
"4",2,8707.15168746052,21633.5363842321,7237.27475888943
"5",3,6152.41520519763,23139.583466448,6613.04835658425
"6",4,4444.39930796318,20455.3552990003,5110.23157410655
"7",5,3597.87977659991,17706.7287201038,4508.86167312117
"8",6,2675.79015296837,14072.8121689708,3537.58652140466
"9",8,1526.75523355034,8967.83889355122,2164.18689118262
"10",10,1021.88066724697,5694.75013233772,1352.62171597682
"11",12,727.126161778766,3829.15717801938,931.876224932784
