ID,REPL,TIME,EVID,DV,RIF,INH,EMB,PZA,SM,PAS,EXPR,PH,THRP,LOQ,AGR,NDV,EVIDLQ,NATG,IDEXPR,PLOT
1,1,0,0,13.19,0,0,0,0,0,0,1,7,1,0,0,532852.5376,0,1,1,1
1,1,1,0,13.51,.,.,.,.,.,.,1,7,1,0,0,735275.1045,0,1,1,1
1,1,2,0,14.05,.,.,.,.,.,.,1,7,1,0,0,1262999.493,0,1,1,1
1,1,3,0,14.73,.,.,.,.,.,.,1,7,1,0,0,2493006.575,0,1,1,1
1,1,6,2,17.03,.,.,.,.,.,.,1,7,1,0,0,24915483.61,2,1,1,1
2,1,0,0,13.19,0,0.01,0,0,0,0,1,7,1,0,0,532852.5376,0,0,2,2
2,1,1,0,13.23,.,.,.,.,.,.,1,7,1,0,0,558494.4723,0,0,2,2
2,1,2,0,13.76,.,.,.,.,.,.,1,7,1,0,0,947895.9331,0,0,2,2
2,1,3,0,14.44,.,.,.,.,.,.,1,7,1,0,0,1859838.102,0,0,2,2
2,1,6,2,16.64,.,.,.,.,.,.,1,7,1,0,0,16768287.3,2,0,2,2
3,1,0,0,13.19,0,0.039,0,0,0,0,1,7,1,0,0,532852.5376,0,0,3,3
3,1,1,0,12.20,.,.,.,.,.,.,1,7,1,0,0,198391.9702,0,0,3,3
3,1,2,0,12.39,.,.,.,.,.,.,1,7,1,0,0,239905.4101,0,0,3,3
3,1,3,0,12.82,.,.,.,.,.,.,1,7,1,0,0,368427.7845,0,0,3,3
3,1,6,2,14.61,.,.,.,.,.,.,1,7,1,0,0,2215525.103,2,0,3,3
4,1,0,0,13.19,0,0.156,0,0,0,0,1,7,1,0,0,532852.5376,0,0,4,4
4,1,1,0,8.53,.,.,.,.,.,.,1,7,1,0,0,5066.978691,0,0,4,4
4,1,2,0,7.31,.,.,.,.,.,.,1,7,1,0,0,1495.177189,0,0,4,4
4,1,3,0,7.06,.,.,.,.,.,.,1,7,1,0,0,1167.009765,0,0,4,4
