ID,TIME,AMT,DV,EVID,MDV,CMT,BQL,AGE
101,0,1,.,1,1,1,0,3
101,10,.,2.52,0,0,2,0,3
102,0,1,.,1,1,1,0,3
102,10,.,3.21,0,0,2,0,3
103,0,1,.,1,1,1,0,3
103,10,.,3,0,0,2,0,3
104,0,1,.,1,1,1,0,3
104,20,.,4.85,0,0,2,0,3
105,0,1,.,1,1,1,0,3
105,20,.,9.04,0,0,2,0,3
106,0,1,.,1,1,1,0,3
106,20,.,6.92,0,0,2,0,3
107,0,1,.,1,1,1,0,3
107,30,.,6.92,0,0,2,0,3
108,0,1,.,1,1,1,0,3
108,30,.,8.28,0,0,2,0,3
109,0,1,.,1,1,1,0,3
109,30,.,8.19,0,0,2,0,3
110,0,1,.,1,1,1,0,3
110,40,.,9.25,0,0,2,0,3
111,0,1,.,1,1,1,0,3
111,40,.,8.9,0,0,2,0,3
112,0,1,.,1,1,1,0,3
112,40,.,8.64,0,0,2,0,3
113,0,1,.,1,1,1,0,3
113,50,.,7.83,0,0,2,0,3
114,0,1,.,1,1,1,0,3
114,50,.,7.95,0,0,2,0,3
115,0,1,.,1,1,1,0,3
115,50,.,9.16,0,0,2,0,3
116,0,1,.,1,1,1,0,3
116,60,.,11.7,0,0,2,0,3
117,0,1,.,1,1,1,0,3
117,60,.,8.92,0,0,2,0,3
118,0,1,.,1,1,1,0,3
118,60,.,8.92,0,0,2,0,3
119,0,1,.,1,1,1,0,3
119,80,.,12.2,0,0,2,0,3
120,0,1,.,1,1,1,0,3
120,80,.,9.97,0,0,2,0,3
121,0,1,.,1,1,1,0,3
121,80,.,5.62,0,0,2,0,3
122,0,1,.,1,1,1,0,3
122,100,.,16.8,0,0,2,0,3
123,0,1,.,1,1,1,0,3
123,100,.,15.9,0,0,2,0,3
124,0,1,.,1,1,1,0,3
124,100,.,15.8,0,0,2,0,3
125,0,1,.,1,1,1,0,3
125,120,.,13.5,0,0,2,0,3
126,0,1,.,1,1,1,0,3
126,120,.,11.8,0,0,2,0,3
127,0,1,.,1,1,1,0,3
127,120,.,9.69,0,0,2,0,3
128,0,1,.,1,1,1,0,3
128,180,.,17.6,0,0,2,0,3
129,0,1,.,1,1,1,0,3
129,180,.,9.82,0,0,2,0,3
130,0,1,.,1,1,1,0,3
130,180,.,16.5,0,0,2,0,3
131,0,1,.,1,1,1,0,3
131,60,.,7.92,0,0,2,0,3
132,0,1,.,1,1,1,0,3
132,60,.,7.69,0,0,2,0,3
133,0,1,.,1,1,1,0,3
133,60,.,7.4,0,0,2,0,3
134,0,1,.,1,1,1,0,3
134,60,.,.,2,1,-1,0,3
134,120,.,3.37,0,0,2,0,3
135,0,1,.,1,1,1,0,3
135,60,.,.,2,1,-1,0,3
135,120,.,3.34,0,0,2,0,3
136,0,1,.,1,1,1,0,3
136,60,.,.,2,1,-1,0,3
136,120,.,3.01,0,0,2,0,3
137,0,1,.,1,1,1,0,3
137,60,.,.,2,1,-1,0,3
137,180,.,0.88,0,0,2,0,3
138,0,1,.,1,1,1,0,3
138,60,.,.,2,1,-1,0,3
138,180,.,0.95,0,0,2,0,3
139,0,1,.,1,1,1,0,3
139,60,.,.,2,1,-1,0,3
139,180,.,1.51,0,0,2,0,3
140,0,1,.,1,1,1,0,3
140,60,.,.,2,1,-1,0,3
140,240,.,0.29,0,0,2,0,3
141,0,1,.,1,1,1,0,3
141,60,.,.,2,1,-1,0,3
141,240,.,0.39,0,0,2,0,3
142,0,1,.,1,1,1,0,3
142,60,.,.,2,1,-1,0,3
142,240,.,0.52,0,0,2,0,3
143,0,1,.,1,1,1,0,3
143,60,.,.,2,1,-1,0,3
143,300,.,0.08,0,0,2,0,3
144,0,1,.,1,1,1,0,3
144,60,.,.,2,1,-1,0,3
144,300,.,0.13,0,0,2,0,3
145,0,1,.,1,1,1,0,3
145,60,.,.,2,1,-1,0,3
145,300,.,0.2,0,0,2,0,3
146,0,1,.,1,1,1,0,3
146,59.9,.,.,2,1,-1,0,3
146,59.9,.,0,2,1,1,0,3
147,0,1,.,1,1,1,0,3
147,59.9,.,.,2,1,-1,0,3
147,59.9,.,0,2,1,1,0,3
148,0,1,.,1,1,1,0,3
148,59.9,.,.,2,1,-1,0,3
148,59.9,.,0,2,1,1,0,3
149,0,1,.,1,1,1,0,3
149,59.9,.,.,2,1,-1,0,3
149,59.9,.,0,2,1,1,0,3
150,0,1,.,1,1,1,0,3
150,59.9,.,.,2,1,-1,0,3
150,59.9,.,0,2,1,1,0,3
151,0,1,.,1,1,1,0,3
151,59.9,.,.,2,1,-1,0,3
151,59.9,.,0,2,1,1,0,3
152,0,1,.,1,1,1,0,3
152,59.9,.,.,2,1,-1,0,3
152,59.9,.,0,2,1,1,0,3
153,0,1,.,1,1,1,0,3
153,59.9,.,.,2,1,-1,0,3
153,59.9,.,0,2,1,1,0,3
154,0,1,.,1,1,1,0,3
154,59.9,.,.,2,1,-1,0,3
154,59.9,.,0,2,1,1,0,3
155,0,1,.,1,1,1,0,3
155,59.9,.,.,2,1,-1,0,3
155,59.9,.,0,2,1,1,0,3
156,0,1,.,1,1,1,0,3
156,59.9,.,.,2,1,-1,0,3
156,59.9,.,0,2,1,1,0,3
157,0,1,.,1,1,1,0,3
157,59.9,.,.,2,1,-1,0,3
157,59.9,.,0,2,1,1,0,3
158,0,1,.,1,1,1,0,3
158,59.9,.,.,2,1,-1,0,3
158,59.9,.,0,2,1,1,0,3
159,0,1,.,1,1,1,0,3
159,59.9,.,.,2,1,-1,0,3
159,59.9,.,0,2,1,1,0,3
160,0,1,.,1,1,1,0,3
160,59.9,.,.,2,1,-1,0,3
160,59.9,.,0,2,1,1,0,3
161,0,1,.,1,1,1,0,3
161,59.9,.,.,2,1,-1,0,3
161,59.9,.,0,2,1,1,0,3
162,0,1,.,1,1,1,0,3
162,59.9,.,.,2,1,-1,0,3
162,59.9,.,0,2,1,1,0,3
163,0,1,.,1,1,1,0,4
163,59.9,.,.,2,1,-1,0,4
163,59.9,.,0,2,1,1,0,4
163,60,.,21,0,0,2,0,4
164,0,1,.,1,1,1,0,4
164,59.9,.,.,2,1,-1,0,4
164,59.9,.,0,2,1,1,0,4
164,60,.,21.1,0,0,2,0,4
165,0,1,.,1,1,1,0,4
165,59.9,.,.,2,1,-1,0,4
165,59.9,.,0,2,1,1,0,4
165,60,.,14.2,0,0,2,0,4
166,0,1,.,1,1,1,0,4
166,59.9,.,.,2,1,-1,0,4
166,59.9,.,0,2,1,1,0,4
166,60,.,23.3,0,0,2,0,4
167,0,1,.,1,1,1,0,4
167,59.9,.,.,2,1,-1,0,4
167,59.9,.,0,2,1,1,0,4
167,120,.,6.1,0,0,2,0,4
168,0,1,.,1,1,1,0,4
168,59.9,.,.,2,1,-1,0,4
168,59.9,.,0,2,1,1,0,4
168,120,.,5.67,0,0,2,0,4
169,0,1,.,1,1,1,0,4
169,59.9,.,.,2,1,-1,0,4
169,59.9,.,0,2,1,1,0,4
169,120,.,1.44,0,0,2,0,4
170,0,1,.,1,1,1,0,4
170,59.9,.,.,2,1,-1,0,4
170,59.9,.,0,2,1,1,0,4
170,120,.,6.15,0,0,2,0,4
171,0,1,.,1,1,1,0,4
171,59.9,.,.,2,1,-1,0,4
171,59.9,.,0,2,1,1,0,4
171,180,.,1.76,0,0,2,0,4
172,0,1,.,1,1,1,1,4
172,59.9,.,.,2,1,-1,1,4
172,59.9,.,0,2,1,1,1,4
172,180,.,53.1,0,0,2,1,4
173,0,1,.,1,1,1,1,4
173,59.9,.,.,2,1,-1,1,4
173,59.9,.,0,2,1,1,1,4
173,180,.,40.3,0,0,2,1,4
174,0,1,.,1,1,1,0,4
174,59.9,.,.,2,1,-1,0,4
174,59.9,.,0,2,1,1,0,4
174,240,.,0.175,0,0,2,0,4
175,0,1,.,1,1,1,0,4
175,59.9,.,.,2,1,-1,0,4
175,59.9,.,0,2,1,1,0,4
175,240,.,0.51,0,0,2,0,4
176,0,1,.,1,1,1,0,4
176,59.9,.,.,2,1,-1,0,4
176,59.9,.,0,2,1,1,0,4
176,240,.,.,0,1,2,0,4
177,0,1,.,1,1,1,0,4
177,59.9,.,.,2,1,-1,0,4
177,59.9,.,0,2,1,1,0,4
177,240,.,0.0862,0,0,2,0,4
178,0,1,.,1,1,1,0,4
178,59.9,.,.,2,1,-1,0,4
178,59.9,.,0,2,1,1,0,4
178,300,.,0.0844,0,0,2,0,4
179,0,1,.,1,1,1,0,4
179,59.9,.,.,2,1,-1,0,4
179,59.9,.,0,2,1,1,0,4
179,300,.,0.0513,0,0,2,0,4
180,0,1,.,1,1,1,0,4
180,59.9,.,.,2,1,-1,0,4
180,59.9,.,0,2,1,1,0,4
180,300,.,0.0275,0,0,2,0,4
181,0,1,.,1,1,1,0,4
181,59.9,.,.,2,1,-1,0,4
181,59.9,.,0,2,1,1,0,4
182,0,1,.,1,1,1,0,4
182,59.9,.,.,2,1,-1,0,4
182,59.9,.,0,2,1,1,0,4
183,0,1,.,1,1,1,0,4
183,59.9,.,.,2,1,-1,0,4
183,59.9,.,0,2,1,1,0,4
184,0,1,.,1,1,1,0,4
184,59.9,.,.,2,1,-1,0,4
184,59.9,.,0,2,1,1,0,4
185,0,1,.,1,1,1,0,4
185,59.9,.,.,2,1,-1,0,4
185,59.9,.,0,2,1,1,0,4
186,0,1,.,1,1,1,0,4
186,59.9,.,.,2,1,-1,0,4
186,59.9,.,0,2,1,1,0,4
187,0,1,.,1,1,1,0,4
187,59.9,.,.,2,1,-1,0,4
187,59.9,.,0,2,1,1,0,4
188,0,1,.,1,1,1,0,4
188,59.9,.,.,2,1,-1,0,4
188,59.9,.,0,2,1,1,0,4
189,0,1,.,1,1,1,0,4
189,59.9,.,.,2,1,-1,0,4
189,59.9,.,0,2,1,1,0,4
190,0,1,.,1,1,1,0,4
